time,steps,alpha,detuning,qubit_drive_amp,err,filenum
1000,1000,30,0.03,0.005,0.9183748,10
1000,1000,30,0.005,0.01,0.70501304,11
1000,1000,30,0.01,0.01,0.7048512,12
1000,1000,30,0.015,0.01,0.70409584,13
1000,1000,30,0.02,0.01,0.9184668,14
1000,1000,30,0.03,0.01,0.9184007,15
1000,1000,30,0.005,0.015,0.70534885,16
1000,1000,30,0.01,0.015,0.7058403,17
1000,1000,30,0.015,0.015,0.9109108,18
1000,1000,30,0.02,0.015,0.7041442,19
1000,1000,30,0.03,0.015,0.81699985,20
1000,1000,30,0.005,0.02,0.9174252,21
1000,1000,30,0.01,0.02,0.9155904,22
1000,1000,30,0.015,0.02,0.7288298,23
1000,1000,30,0.02,0.02,0.81652933,24
1000,1000,30,0.03,0.02,0.80036265,25
1000,1000,30,0.005,0.03,0.91851795,26
